亞,-1,-1,8747,名詞,一般,*,*,*,*,亞,あ,ア,亜
啞,-1,-1,8568,名詞,一般,*,*,*,*,啞,あ,ア,唖
アイヨリ,-1,-1,5200,名詞,一般,*,*,*,*,アイヨリ,あいより,アイヨリ,アイオリ
愛翫,-1,-1,7134,名詞,サ変接続,*,*,*,*,愛翫,あいがん,アイガン,愛玩
アイゲンフェイス,-1,-1,5200,名詞,一般,*,*,*,*,アイゲンフェイス,あいげんふぇいす,アイゲンフェース,アイゲンフェース
アイソキネティックス,-1,-1,5200,名詞,一般,*,*,*,*,アイソキネティックス,あいそきねてぃっくす,アイソキネティックス,アイソキネティック
アイソメトリック,-1,-1,5200,名詞,一般,*,*,*,*,アイソメトリック,あいそめとりっく,アイソメトリック,アイソメトリックス
アイテムズ,-1,-1,5198,名詞,一般,*,*,*,*,アイテムズ,あいてむず,アイテムズ,アイテム
アイテレイテッド,-1,-1,5200,名詞,一般,*,*,*,*,アイテレイテッド,あいてれいてっど,アイテレーテッド,アイテレーテッド
アイヴィ,-1,-1,5200,名詞,一般,*,*,*,*,アイヴィ,あいうぃ,アイビ,アイビー
アイヴィー,-1,-1,5200,名詞,一般,*,*,*,*,アイヴィー,あいうぃー,アイビー,アイビー
アイブロウ,-1,-1,5200,名詞,一般,*,*,*,*,アイブロウ,あいぶろう,アイブロー,アイブロー
アイランダーズ,-1,-1,5200,名詞,一般,*,*,*,*,アイランダーズ,あいらんだーず,アイランダーズ,アイランダー
アウェイ,-1,-1,5199,名詞,一般,*,*,*,*,アウェイ,あうぇい,アウェー,アウェー
アウエイ,-1,-1,5199,名詞,一般,*,*,*,*,アウエイ,あうえい,アウェー,アウェー
アウエー,-1,-1,5198,名詞,一般,*,*,*,*,アウエー,あうえー,アウエー,アウェー
アウトテイク,-1,-1,5200,名詞,一般,*,*,*,*,アウトテイク,あうとていく,アウトテーク,アウトテーク
アウトドアー,-1,-1,5190,名詞,一般,*,*,*,*,アウトドアー,あうとどあー,アウトドアー,アウトドア
アウトフィッターズ,-1,-1,5200,名詞,一般,*,*,*,*,アウトフィッターズ,あうとふぃったーず,アウトフィッターズ,アウトフィッター
阿呍,-1,-1,7728,名詞,一般,*,*,*,*,阿呍,あうん,アウン,阿吽
青丹,-1,-1,8642,名詞,一般,*,*,*,*,青丹,あおに,アオニ,青土
青髯,-1,-1,8660,名詞,一般,*,*,*,*,青髯,あおひげ,アオヒゲ,青髭
アカウンタビリティ,-1,-1,5200,名詞,一般,*,*,*,*,アカウンタビリティ,あかうんたびりてぃ,アカウンタビリティ,アカウンタビリティー
